"Gene"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ITGB5"	"ITGB5"	-0.816172534703346	10.0105564033265	-3.94472223819589	0.000151304374388072	0.0305786766881059	0.819008620600885
"TPBG"	"TPBG"	-0.948265163875599	8.51864736964286	-3.94255832890688	0.000152484677385533	0.0305786766881059	0.812115420878979
"RCOR3"	"RCOR3"	0.567296058751197	5.06558846111225	3.94157822718383	0.000153022164470034	0.0305786766881059	0.808994151837374
"TSPAN12"	"TSPAN12"	1.26301306149282	6.1040530385102	3.93247173836383	0.000158103491226393	0.0312843408178655	0.780019399130308
"KIAA1257"	"KIAA1257"	0.424522049119617	4.8121457235102	3.92543317045273	0.000162141009746152	0.0317717669874426	0.757656653445543
"ADRA2A"	"ADRA2A"	-0.802794279995211	7.84691109373469	-3.9164329169401	0.00016744747477295	0.0322325857341507	0.729102488278101
"ASAP1-IT2"	"ASAP1-IT2"	-0.415815306440191	4.78101195342857	-3.91360570446551	0.000169148335905814	0.0322325857341507	0.720142444372454
"SHISAL1"	"SHISAL1"	-0.494436981569377	4.84253737372449	-3.91338177114295	0.000169283758005251	0.0322325857341507	0.719432947053792
"NT5E"	"NT5E"	-0.957769484454544	7.5400905147551	-3.90292953142945	0.000175721176434362	0.0327280750720416	0.686348645826092
"KIAA0930"	"KIAA0930"	-0.546960029449759	7.73818869976531	-3.90236012728843	0.000176078497710024	0.0327280750720416	0.684548119906876
"RBMS3"	"RBMS3"	-1.25788905274163	8.10625556988776	-3.89518162656564	0.000180643191634647	0.0327280750720416	0.661864791417486
"MXRA8"	"MXRA8"	-0.86143637585646	8.90643812812245	-3.89320087462987	0.000181922473985259	0.0327280750720416	0.655611032591783
"TAS2R39"	"TAS2R39"	0.288620579033496	4.15638939191837	3.89259764686897	0.000182313787825691	0.0327280750720416	0.653706931094566
"RAB7B"	"RAB7B"	-0.765011312210527	7.42571886264286	-3.89227105546726	0.0001825259828251	0.0327280750720416	0.652676125641711
"LRRK2"	"LRRK2"	-0.989656738598088	5.7820955402551	-3.89100046494049	0.000183353763908566	0.0327280750720416	0.648666403143245
"SCARF2"	"SCARF2"	-0.589901914081341	6.57506815028571	-3.88780218520931	0.000185453314911069	0.0327280750720416	0.638577405069562
"CSTA"	"CSTA"	-1.89225394476077	11.0457493864286	-3.88445823632514	0.000187673023766023	0.0327280750720416	0.628035195721116
"MCTS1"	"MCTS1"	0.549009002000002	9.222724191	3.88172497740502	0.000189506169270342	0.0327280750720416	0.619423051122908
"CRB1"	"CRB1"	1.00348751390431	3.97804460297959	3.88140294657008	0.000189723271239601	0.0327280750720416	0.618408657563858
"UQCC2"	"UQCC2"	0.382753266076553	5.05083450885714	3.87127313431123	0.000196674881366725	0.0334292199597964	0.586530441762416
"GABARAPL3"	"GABARAPL3"	0.317068738942583	4.07232077013265	3.86936972861291	0.000198007938518819	0.0334292199597964	0.580547103543449
"ANXA2"	"ANXA2"	-0.857018845516745	12.6766184518776	-3.86830597056607	0.000198756695990466	0.0334292199597964	0.577204103606248
"TMEM117"	"TMEM117"	-0.764135000377989	8.0362689044898	-3.86198465716856	0.000203262163982562	0.0339044649228103	0.557352066589333
"CEBPA"	"CEBPA"	-0.82851335379426	9.35424035319388	-3.8559155050801	0.000207679456816724	0.0343573317781306	0.538313750197553
"GUCY1A1"	"GUCY1A1"	-1.00632930182296	8.37647294083673	-3.84907785051969	0.000212765746957832	0.0347928049791064	0.516890356789277
"ZCCHC24"	"ZCCHC24"	-0.738679962593298	8.89394346388776	-3.84623397086089	0.000214915997193539	0.0347928049791064	0.507988066058299
"CH25H"	"CH25H"	-0.959079062550237	6.01917448472449	-3.8428272336516	0.000217519103774872	0.0347928049791064	0.497330044894266
"IL1R2"	"IL1R2"	-0.938859073382774	7.52184106863265	-3.84106797448437	0.000218875106107259	0.0347928049791064	0.491828828431539
"KRT1"	"KRT1"	-1.98062872579426	11.6654572667245	-3.84099556255311	0.000218931092124387	0.0347928049791064	0.49160243445426
"RASA3"	"RASA3"	-0.7067825871866	7.66494027382653	-3.82448612145259	0.000232058207832848	0.0363633747802768	0.440066042049972
"HOXA1"	"HOXA1"	-0.562901849191388	5.93157656584694	-3.8240473101153	0.000232417150406565	0.0363633747802768	0.438698409461046
"FCER1A"	"FCER1A"	-0.832450561133972	8.38988905305102	-3.82145735460793	0.000234546504381166	0.0364142469071159	0.430628655936055
"MRGPRF"	"MRGPRF"	-0.768022578483254	7.73003207737755	-3.81635394455862	0.000238796840457813	0.0366736486883925	0.414739017554062
"TNFRSF21"	"TNFRSF21"	-0.773727405784682	8.13829583510204	-3.81510108260443	0.000239851440661339	0.0366736486883925	0.410840525710112
"RBMS2"	"RBMS2"	-0.562526304861245	7.5589542965	-3.80882591692831	0.000245200689113114	0.0369045433099561	0.391328157656941
"KIF24"	"KIF24"	0.219348943363638	4.01280006580612	3.80553267179297	0.000248053285025973	0.0369045433099561	0.381097209310975
"ZNF233"	"ZNF233"	0.4631410889378	3.89873352664286	3.8048951295294	0.000248609161266981	0.0369045433099561	0.379117328054406
"AKAP13"	"AKAP13"	-0.819131663622008	8.96167463605102	-3.8036476078679	0.000249700315594468	0.0369045433099561	0.375243853799049
"BRINP3"	"BRINP3"	0.907384591023924	3.90536278530612	3.8013774005132	0.00025169768238721	0.0369045433099561	0.368197357401296
"ZNF790-AS1"	"ZNF790-AS1"	0.42570117225359	5.40052881978571	3.80065945165618	0.00025233250640509	0.0369045433099561	0.365969547788924
