"Gene"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"IL20RB"	"IL20RB"	-4.35790011790348	8.44395692040816	-29.3812180220419	1.3578175776308e-50	2.88471917571815e-48	105.012480583457
"WLS"	"WLS"	-3.67752189465348	8.08864583681633	-29.3616540375578	1.44041260606108e-50	3.02831746126362e-48	104.953549706188
"TGM3"	"TGM3"	-3.31330512720036	7.35520576018367	-29.3059335341142	1.7045232170148e-50	3.54663835969173e-48	104.785532379657
"PLCD3"	"PLCD3"	-1.75843458961489	6.32191113186735	-29.2589981032323	1.96461365668153e-50	4.04610177885747e-48	104.643803448209
"DCD"	"DCD"	-8.39737725546323	11.0571075318673	-29.184778458963	2.46016530051325e-50	5.01550669295545e-48	104.419308012081
"C1orf116"	"C1orf116"	-4.23737148618474	7.82778602309184	-29.1781155828265	2.5104036270429e-50	5.06674764046069e-48	104.399131847685
"LAMB4"	"LAMB4"	-2.69990823921875	5.81440229221429	-29.1176896829264	3.0160314534891e-50	6.02698641839312e-48	104.215982493784
"SCGB2A2"	"SCGB2A2"	-7.60676754297609	10.0169904116429	-29.0393086273779	3.8282828610119e-50	7.57512088076501e-48	103.977951913066
"FLG2"	"FLG2"	-7.72669630234557	10.480692408	-29.0294327173167	3.94520152003754e-50	7.73067983290462e-48	103.947923469948
"MIAT"	"MIAT"	5.4723184108364	6.35677009093878	28.9627046064864	4.83546745725811e-50	9.3840615086385e-48	103.744814741158
"TMEM30A"	"TMEM30A"	-2.76250344809466	7.50596064223469	-28.8931099612841	5.9810282340314e-50	1.14966755092815e-47	103.53257729848
"SYNPO2"	"SYNPO2"	-4.22445196461213	8.51084510660204	-28.807980382621	7.76183289735375e-50	1.47045005596241e-47	103.272402138967
"CA12"	"CA12"	-5.22900909497793	8.90018990558163	-28.8065650605149	7.79557825833514e-50	1.47045005596241e-47	103.268071357246
"INSM1"	"INSM1"	6.53012562180607	6.94181560170408	28.6256960314897	1.35900383373199e-49	2.53970133113081e-47	102.713209703528
"TXNIP"	"TXNIP"	-3.85452302306617	10.9194255353265	-28.5567573094766	1.68088012996886e-49	3.09465422078022e-47	102.500980416772
"UFM1"	"UFM1"	-2.26712931061857	6.95031036131633	-28.5556514023543	1.68662718270735e-49	3.09465422078022e-47	102.497572507515
"CD1A"	"CD1A"	-3.32682797008547	8.07065495142857	-28.5462763639298	1.73614966711222e-49	3.15682060642576e-47	102.46867859203
"POU2F3"	"POU2F3"	-3.90993640021506	7.22591475614286	-28.492988787626	2.04684785556551e-49	3.68852948829274e-47	102.304301246763
"RORA"	"RORA"	-4.77907895066635	8.90287968086735	-28.4685818583016	2.20733654725998e-49	3.91914991036818e-47	102.228930341454
"ACER1"	"ACER1"	-3.00020810217922	7.02179308655102	-28.4676571754385	2.21366045573984e-49	3.91914991036818e-47	102.226073815308
"LINC00302"	"LINC00302"	-4.40096882659007	7.46847044027551	-28.3976114037859	2.7499224824827e-49	4.8262335186042e-47	102.009472367684
"COBLL1"	"COBLL1"	-1.92394127337959	6.85585856116327	-28.3762188108743	2.9385236071478e-49	5.11277775543655e-47	101.943235131846
"LPP"	"LPP"	-2.82496694137315	6.61273649184694	-28.2804800915457	3.95609254623829e-49	6.82442870604508e-47	101.646312129264
"XG"	"XG"	-4.41616553222701	8.22534654190816	-28.2601404123144	4.21449670541026e-49	7.20857516994027e-47	101.583127473626
"GSTA3"	"GSTA3"	-2.46587138544576	6.91958275479592	-28.2174279879619	4.81394787032396e-49	8.16469830813013e-47	101.450324274907
"EGFR"	"EGFR"	-5.38954276525919	9.23144512636735	-28.1358456823973	6.20879086075841e-49	1.04426688285572e-46	101.196219164076
"PPP2R3A"	"PPP2R3A"	-3.12397398061948	7.53151167546939	-28.104928499344	6.83833959803489e-49	1.14064634799288e-46	101.099767776964
"LPCAT1"	"LPCAT1"	2.58358572170037	8.35039255830612	28.0646674670136	7.75576399756782e-49	1.28307036690911e-46	100.974040018506
"SOX2"	"SOX2"	5.49520796518199	7.46551688202041	27.9771652059798	1.02014668357526e-48	1.6739528873658e-46	100.700291383407
"ENDOU"	"ENDOU"	-3.28239872951562	7.19144356956122	-27.8207924997875	1.66769061910859e-48	2.71443546495714e-46	100.209386724832
"MARCKSL1"	"MARCKSL1"	2.68899838781802	9.98155463161224	27.7972864394478	1.7959011218254e-48	2.89973378734416e-46	100.135404720853
"AKR1C2"	"AKR1C2"	-3.91059405953308	9.14999925853061	-27.7437713810995	2.12615074115022e-48	3.40572225465357e-46	99.9667888962245
